product_id,category_en,category_zh,name_en,name_zh,price,impressions,clicks,inquiries,orders
P0000,Electronics,电子产品,Wireless Earbuds Model 000,无线耳机 型号000,10.68,28295,815,77,15
P0001,Apparel,服装,Wool Sweater Model 001,羊毛毛衣 型号001,35.66,5657,122,4,0
P0002,Home,家居,Storage Basket Model 002,收纳篮 型号002,37.56,19253,425,53,2
P0003,Beauty,美妆,Vitamin C Serum Model 003,维C精华液 型号003,12.53,5857,145,25,1
P0004,Toys,玩具,Plush Bear Model 004,毛绒熊 型号004,29.34,26341,490,70,6
P0005,Sports,运动,Cycling Helmet Model 005,骑行头盔 型号005,12.27,35181,272,16,3
P0006,Electronics,电子产品,Smart Watch Model 006,智能手表 型号006,8.84,4301,48,4,0
P0007,Apparel,服装,Running Shorts Model 007,跑步短裤 型号007,14.45,9292,138,4,0
P0008,Home,家居,Memory Foam Pillow Model 008,记忆棉枕头 型号008,23.02,2471,21,0,0
P0009,Beauty,美妆,Matte Lipstick Model 009,哑光口红 型号009,11.62,10878,121,12,2
P0010,Toys,玩具,RC Car Model 010,遥控车 型号010,29.55,13654,547,38,9
P0011,Sports,运动,Cycling Helmet Model 011,骑行头盔 型号011,9.48,7046,79,4,0
P0012,Electronics,电子产品,Smart Watch Model 012,智能手表 型号012,252.42,20219,221,2,0
P0013,Apparel,服装,Running Shorts Model 013,跑步短裤 型号013,21.61,4742,36,2,0
P0014,Home,家居,Memory Foam Pillow Model 014,记忆棉枕头 型号014,13.73,112248,1339,161,21
P0015,Beauty,美妆,Vitamin C Serum Model 015,维C精华液 型号015,17.05,3922,37,3,0
P0016,Toys,玩具,RC Car Model 016,遥控车 型号016,34.57,62053,1224,25,1
P0017,Sports,运动,Dumbbell Set Model 017,哑铃套装 型号017,75.51,5460,135,8,1
P0018,Electronics,电子产品,Smart Watch Model 018,智能手表 型号018,12.5,3948,45,4,0
P0019,Apparel,服装,Running Shorts Model 019,跑步短裤 型号019,71.52,11447,145,10,0
P0020,Home,家居,LED Desk Lamp Model 020,LED 台灯 型号020,19.49,3091,41,5,0
P0021,Beauty,美妆,Nail Polish Kit Model 021,指甲油套装 型号021,143.86,7868,91,10,0
P0022,Toys,玩具,Educational Robot Model 022,益智机器人 型号022,18.27,18798,803,25,3
P0023,Sports,运动,Yoga Mat Model 023,瑜伽垫 型号023,19.82,16851,229,26,4
P0024,Electronics,电子产品,Bluetooth Speaker Model 024,蓝牙音箱 型号024,233.05,108355,4283,608,141
P0025,Apparel,服装,Cotton T-Shirt Model 025,纯棉T恤 型号025,35.29,4400,62,6,0
P0026,Home,家居,Storage Basket Model 026,收纳篮 型号026,28.25,17961,268,2,0
P0027,Beauty,美妆,Matte Lipstick Model 027,哑光口红 型号027,18.77,49022,1180,242,42
P0028,Toys,玩具,Building Blocks Model 028,积木 型号028,54.15,4112,109,6,1
P0029,Sports,运动,Dumbbell Set Model 029,哑铃套装 型号029,16.21,60550,1499,73,6
