date,product_id,impressions,clicks,inquiries,orders
2026-03-30,P0361,568,4,0,0
2026-03-31,P0361,384,3,0,0
2026-04-01,P0361,542,4,0,0
2026-04-02,P0361,549,7,0,0
2026-04-03,P0361,574,5,0,0
2026-04-04,P0361,528,4,0,0
2026-04-05,P0361,509,5,0,0
2026-04-06,P0361,577,6,0,0
2026-04-07,P0361,502,4,0,0
2026-04-08,P0361,534,4,0,0
2026-04-09,P0361,604,7,0,0
2026-04-10,P0361,553,6,0,0
2026-04-11,P0361,599,6,0,0
2026-04-12,P0361,425,4,0,0
2026-04-13,P0361,521,7,0,0
2026-04-14,P0361,406,4,0,0
2026-04-15,P0361,602,7,0,0
2026-04-16,P0361,614,6,0,0
2026-04-17,P0361,468,5,0,0
2026-04-18,P0361,509,5,0,0
2026-04-19,P0361,581,5,0,0
2026-04-20,P0361,446,5,0,0
2026-04-21,P0361,583,6,0,0
2026-04-22,P0361,509,5,0,0
2026-04-23,P0361,436,3,0,0
2026-04-24,P0361,513,6,0,0
2026-04-25,P0361,467,4,0,0
2026-04-26,P0361,612,4,0,0
2026-04-27,P0361,495,3,0,0
2026-04-28,P0361,562,0,0,0
2026-03-30,P0073,257,3,0,0
2026-03-31,P0073,342,4,0,0
2026-04-01,P0073,274,2,0,0
2026-04-02,P0073,332,3,0,0
2026-04-03,P0073,318,4,0,0
2026-04-04,P0073,322,3,0,0
2026-04-05,P0073,266,2,0,0
2026-04-06,P0073,352,4,0,0
2026-04-07,P0073,227,2,0,0
2026-04-08,P0073,309,4,0,0
2026-04-09,P0073,259,2,0,0
2026-04-10,P0073,342,3,0,0
2026-04-11,P0073,296,3,0,0
2026-04-12,P0073,283,2,0,0
2026-04-13,P0073,376,4,0,0
2026-04-14,P0073,363,4,0,0
2026-04-15,P0073,323,5,0,0
2026-04-16,P0073,241,3,0,0
2026-04-17,P0073,286,4,0,0
2026-04-18,P0073,333,3,0,0
2026-04-19,P0073,319,5,0,0
2026-04-20,P0073,210,2,0,0
2026-04-21,P0073,263,3,0,0
2026-04-22,P0073,305,3,0,0
2026-04-23,P0073,328,5,0,0
2026-04-24,P0073,293,3,0,0
2026-04-25,P0073,308,3,0,0
2026-04-26,P0073,265,3,0,0
2026-04-27,P0073,318,4,0,0
2026-04-28,P0073,206,2,0,0
2026-03-30,P0374,189,2,0,0
2026-03-31,P0374,287,2,0,0
2026-04-01,P0374,312,3,0,0
2026-04-02,P0374,274,2,0,0
2026-04-03,P0374,232,2,0,0
2026-04-04,P0374,210,2,0,0
2026-04-05,P0374,233,3,0,0
2026-04-06,P0374,219,2,0,0
2026-04-07,P0374,214,3,0,0
2026-04-08,P0374,193,1,0,0
2026-04-09,P0374,233,1,0,0
2026-04-10,P0374,181,2,0,0
2026-04-11,P0374,208,2,0,0
2026-04-12,P0374,266,1,0,0
2026-04-13,P0374,227,2,0,0
2026-04-14,P0374,274,2,0,0
2026-04-15,P0374,215,2,0,0
2026-04-16,P0374,237,4,0,0
2026-04-17,P0374,275,3,0,0
2026-04-18,P0374,220,2,0,0
2026-04-19,P0374,243,2,0,0
2026-04-20,P0374,277,4,0,0
2026-04-21,P0374,179,2,0,0
2026-04-22,P0374,195,1,0,0
2026-04-23,P0374,196,2,0,0
2026-04-24,P0374,143,1,0,0
2026-04-25,P0374,270,2,0,0
2026-04-26,P0374,166,2,0,0
2026-04-27,P0374,199,2,0,0
2026-04-28,P0374,225,3,0,0
2026-03-30,P0155,48,0,0,0
2026-03-31,P0155,49,0,0,0
2026-04-01,P0155,51,0,0,0
2026-04-02,P0155,56,0,0,0
2026-04-03,P0155,48,0,0,0
2026-04-04,P0155,50,0,0,0
2026-04-05,P0155,37,0,0,0
2026-04-06,P0155,52,0,0,0
2026-04-07,P0155,46,0,0,0
2026-04-08,P0155,55,0,0,0
2026-04-09,P0155,48,0,0,0
2026-04-10,P0155,53,0,0,0
2026-04-11,P0155,35,0,0,0
2026-04-12,P0155,44,0,0,0
2026-04-13,P0155,58,0,0,0
2026-04-14,P0155,50,0,0,0
2026-04-15,P0155,43,0,0,0
2026-04-16,P0155,39,0,0,0
2026-04-17,P0155,49,0,0,0
2026-04-18,P0155,45,0,0,0
2026-04-19,P0155,48,0,0,0
2026-04-20,P0155,47,0,0,0
2026-04-21,P0155,58,0,0,0
2026-04-22,P0155,64,0,0,0
2026-04-23,P0155,58,0,0,0
2026-04-24,P0155,52,0,0,0
2026-04-25,P0155,41,0,0,0
2026-04-26,P0155,58,0,0,0
2026-04-27,P0155,47,0,0,0
2026-04-28,P0155,57,0,0,0
2026-03-30,P0104,973,59,17,1
2026-03-31,P0104,933,42,9,0
2026-04-01,P0104,821,44,16,0
2026-04-02,P0104,901,46,12,0
2026-04-03,P0104,683,30,4,0
2026-04-04,P0104,1134,63,14,0
2026-04-05,P0104,523,22,10,0
2026-04-06,P0104,862,44,7,0
2026-04-07,P0104,956,44,15,0
2026-04-08,P0104,1036,42,14,1
2026-04-09,P0104,804,31,11,0
2026-04-10,P0104,1140,49,19,1
2026-04-11,P0104,978,60,15,0
2026-04-12,P0104,878,45,7,0
2026-04-13,P0104,865,50,5,0
2026-04-14,P0104,703,27,8,0
2026-04-15,P0104,906,41,12,0
2026-04-16,P0104,1041,55,17,1
2026-04-17,P0104,983,65,18,0
2026-04-18,P0104,835,31,6,0
2026-04-19,P0104,932,47,13,0
2026-04-20,P0104,1069,58,16,0
2026-04-21,P0104,1019,50,9,0
2026-04-22,P0104,979,37,11,0
2026-04-23,P0104,1130,66,17,1
2026-04-24,P0104,601,21,5,0
2026-04-25,P0104,1042,68,13,0
2026-04-26,P0104,975,60,11,0
2026-04-27,P0104,1199,37,7,0
2026-04-28,P0104,868,47,14,0
2026-03-30,P0394,1245,29,4,0
2026-03-31,P0394,1045,31,4,0
2026-04-01,P0394,863,25,2,0
2026-04-02,P0394,909,26,2,0
2026-04-03,P0394,1279,36,3,0
2026-04-04,P0394,1079,29,3,0
2026-04-05,P0394,1237,29,2,0
2026-04-06,P0394,975,13,2,0
2026-04-07,P0394,1085,17,1,0
2026-04-08,P0394,1123,23,3,0
2026-04-09,P0394,896,27,4,0
2026-04-10,P0394,1097,28,3,0
2026-04-11,P0394,1184,29,4,0
2026-04-12,P0394,1445,30,3,0
2026-04-13,P0394,1005,28,4,0
2026-04-14,P0394,862,23,2,0
2026-04-15,P0394,1141,20,1,0
2026-04-16,P0394,1065,13,1,0
2026-04-17,P0394,1032,20,2,0
2026-04-18,P0394,1569,45,5,0
2026-04-19,P0394,1297,39,5,0
2026-04-20,P0394,1080,26,3,0
2026-04-21,P0394,1076,26,3,0
2026-04-22,P0394,1321,19,1,0
2026-04-23,P0394,753,16,1,0
2026-04-24,P0394,1348,34,2,0
2026-04-25,P0394,1337,29,2,0
2026-04-26,P0394,1117,34,3,0
2026-04-27,P0394,976,26,2,0
2026-04-28,P0394,884,27,2,0
2026-03-30,P0377,9026,139,5,0
2026-03-31,P0377,7891,128,12,1
2026-04-01,P0377,7592,74,7,0
2026-04-02,P0377,9912,120,11,0
2026-04-03,P0377,10227,149,7,0
2026-04-04,P0377,10535,164,10,0
2026-04-05,P0377,9295,138,17,1
2026-04-06,P0377,8648,89,8,0
2026-04-07,P0377,7764,137,17,1
2026-04-08,P0377,7893,116,12,1
2026-04-09,P0377,10875,154,16,1
2026-04-10,P0377,9627,77,7,0
2026-04-11,P0377,7400,124,15,1
2026-04-12,P0377,9509,151,13,1
2026-04-13,P0377,7656,103,9,0
2026-04-14,P0377,9088,112,14,1
2026-04-15,P0377,9174,121,11,0
2026-04-16,P0377,7671,93,6,0
2026-04-17,P0377,9861,133,6,0
2026-04-18,P0377,10526,160,18,1
2026-04-19,P0377,7998,78,7,0
2026-04-20,P0377,10927,167,14,0
2026-04-21,P0377,8720,114,9,0
2026-04-22,P0377,9506,107,8,0
2026-04-23,P0377,8606,113,10,0
2026-04-24,P0377,8497,137,8,0
2026-04-25,P0377,6601,83,7,0
2026-04-26,P0377,10827,63,6,0
